2.59	0.137557	0.0569248
2.6	0.138126	0.0493282
2.61	0.138619	0.0417002
2.62	0.139036	0.034045
2.63	0.139377	0.0263667
2.64	0.139641	0.0186696
2.65	0.139827	0.0109579
2.66	0.139937	0.00323599
2.67	0.139969	-0.00449202
2.68	0.139924	-0.0122218
2.69	0.139802	-0.0199491
2.7	0.139603	-0.0276697
2.71	0.139326	-0.0353793
2.72	0.138972	-0.0430735
2.73	0.138541	-0.0507483
2.74	0.138034	-0.0583992
2.75	0.13745	-0.0660221
2.76	0.13679	-0.0736128
2.77	0.136054	-0.081167
2.78	0.135242	-0.0886806
2.79	0.134355	-0.0961493
2.8	0.133394	-0.103569
2.81	0.132358	-0.110936
2.82	0.131248	-0.118245
2.83	0.130066	-0.125493
2.84	0.128811	-0.132676
2.85	0.127484	-0.13979
2.86	0.126086	-0.14683
2.87	0.124618	-0.153793
2.88	0.12308	-0.160675
2.89	0.121473	-0.167472
2.9	0.119799	-0.174181
2.91	0.118057	-0.180797
2.92	0.116249	-0.187316
2.93	0.114376	-0.193736
2.94	0.112438	-0.200053
2.95	0.110438	-0.206262
2.96	0.108375	-0.212361
2.97	0.106252	-0.218346
2.98	0.104068	-0.224214
2.99	0.101826	-0.229961
3	0.0995265	-0.235584
3.01	0.0971706	-0.241081
3.02	0.0947598	-0.246447
3.03	0.0922953	-0.25168
3.04	0.0897785	-0.256777
3.05	0.0872108	-0.261735
3.06	0.0845934	-0.266551
3.07	0.0819279	-0.271223
3.08	0.0792157	-0.275747
3.09	0.0764582	-0.280122
3.1	0.073657	-0.284344
3.11	0.0708135	-0.288412
3.12	0.0679294	-0.292323
3.13	0.0650062	-0.296074
3.14	0.0620455	-0.299664
3.15	0.0590488	-0.303091
3.16	0.0560179	-0.306352
3.17	0.0529544	-0.309445
3.18	0.0498599	-0.31237
3.19	0.0467362	-0.315123
3.2	0.043585	-0.317704
3.21	0.040408	-0.320111
3.22	0.0372069	-0.322343
3.23	0.0339834	-0.324397
3.24	0.0307395	-0.326274
3.25	0.0274767	-0.327972
3.26	0.024197	-0.329489
3.27	0.0209021	-0.330825
3.28	0.0175939	-0.33198
3.29	0.0142741	-0.332951
3.3	0.0109445	-0.33374
3.31	0.00760714	-0.334344
3.32	0.0042637	-0.334764
3.33	0.000916062	-0.335
3.34	-0.00243393	-0.33505
3.35	-0.00578444	-0.334916
3.36	-0.00913359	-0.334596
3.37	-0.0124796	-0.334092
3.38	-0.0158205	-0.333403
3.39	-0.0191545	-0.332529
